,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
38,Atuona,0,PF,1540105818,96,-9.8,-139.03,81.61,17.11
39,Lamar,1,US,1540101180,53,38.09,-102.62,51.8,12.75
40,Hobart,40,AU,1540103400,48,-42.88,147.33,62.6,9.17
41,Rocha,12,UY,1540105859,93,-34.48,-54.34,45.83,4.47
42,Ancud,80,CL,1540105996,94,-41.87,-73.83,46.46,10.51
43,Kabompo,20,ZM,1540105996,85,-13.6,24.21,69.77,9.73
44,Payson,1,US,1540104960,57,40.04,-111.73,51.8,6.93
45,Kapaa,20,US,1540101360,73,22.08,-159.32,75.2,11.41
46,Masallatah,92,LY,1540106051,90,32.62,14.0,64.01,2.68
47,Yumen,0,CN,1540105920,44,40.29,97.04,48.98,12.97
48,Maceio,0,BR,1540101600,88,-9.67,-35.74,71.6,5.82
49,Khatanga,68,RU,1540105822,82,71.98,102.47,10.1,7.49
50,Chapais,90,CA,1540102560,92,49.78,-74.86,26.6,9.17
51,Bluff,0,AU,1540105811,39,-23.58,149.07,87.91,6.71
52,Fortuna,75,ES,1540105200,88,38.18,-1.13,71.6,5.82
53,Kalga,64,RU,1540106055,70,50.92,118.9,47.63,3.91
54,Thompson,90,CA,1540101600,74,55.74,-97.86,30.2,10.29
55,Novorzhev,64,RU,1540106055,86,57.03,29.33,33.55,2.91
56,Itarema,92,BR,1540106056,94,-2.92,-39.92,74.63,8.39
57,Carnarvon,48,ZA,1540105825,30,-30.97,22.13,48.8,19.8
58,Geraldton,90,CA,1540101600,68,49.72,-86.95,28.4,6.93
59,Mahebourg,75,MU,1540101600,65,-20.41,57.7,82.4,11.41
60,Pisco,80,PE,1540101600,87,-13.71,-76.2,60.8,3.36
61,Cidreira,68,BR,1540105880,78,-30.17,-50.22,59.78,8.84
62,Spassk-Ryazanskiy,0,RU,1540106057,92,54.41,40.38,36.92,3.13
63,Saldanha,0,PT,1540105843,86,41.42,-6.55,54.88,9.17
64,Hithadhoo,64,MV,1540105816,100,-0.6,73.08,78.55,2.91
65,Mandalgovi,0,MN,1540106058,67,45.76,106.27,38.27,24.05
66,Zunyi,88,CN,1540106058,100,27.73,106.92,57.31,3.58
67,Ende,8,ID,1540106059,100,-8.84,121.65,80.93,7.61
68,Lebu,75,ET,1540101600,63,8.96,38.73,64.4,13.87
69,Ballina,75,IE,1540105200,100,54.11,-9.15,48.2,12.75
70,Kijang,0,KR,1540101600,43,35.24,129.21,69.8,8.05
71,Butaritari,0,KI,1540105814,100,3.07,172.79,85.16,3.69
72,Songjianghe,32,CN,1540106060,44,42.18,127.48,53.48,4.14
73,Avarua,40,CK,1540101600,73,-21.21,-159.78,71.6,8.05
74,Zakamensk,80,RU,1540106061,65,50.38,103.29,33.1,7.49
75,Hilo,20,US,1540101360,88,19.71,-155.08,73.4,4.7
76,Tuktoyaktuk,76,CA,1540105834,100,69.44,-133.03,19.28,9.95
77,Ostrovnoy,36,RU,1540106062,96,68.05,39.51,31.48,15.77
78,Iqaluit,90,CA,1540101600,92,63.75,-68.52,14.0,11.41
79,Kushiro,20,JP,1540101600,62,43.11,144.15,57.2,12.75
80,Dingle,0,PH,1540105828,64,11.0,122.67,88.0,9.4
81,Narsaq,0,GL,1540105909,84,60.91,-46.05,-0.93,5.26
82,Bartlesville,1,US,1540104900,93,36.75,-95.98,48.2,7.72
83,Souillac,0,FR,1540103400,93,45.6,-0.6,48.2,3.36
84,Pirovskoye,48,RU,1540106064,89,57.63,92.27,36.92,5.37
85,Alma,1,US,1540103700,69,40.1,-99.36,39.2,5.82
86,Cayenne,20,GF,1540103400,88,4.94,-52.33,77.0,4.7
87,Altay,80,CN,1540105855,81,47.83,88.13,24.05,2.46
88,Bereda,12,ES,1540105200,100,43.27,-7.54,51.8,4.7
89,Tuatapere,8,NZ,1540106066,72,-46.13,167.69,60.73,6.49
90,Nanortalik,0,GL,1540105889,93,60.14,-45.24,32.74,21.7
91,Najran,40,SA,1540101600,69,17.54,44.22,75.2,6.93
92,Pangai,75,TO,1540101600,69,-19.8,-174.35,75.2,13.87
93,Chuy,0,UY,1540105833,92,-33.69,-53.46,51.5,7.61
94,Kargil,44,PK,1540106068,87,34.56,76.13,12.26,1.57
95,Busselton,0,AU,1540105826,100,-33.64,115.35,62.53,24.27
96,Nikolskoye,0,RU,1540103400,87,59.7,30.79,44.6,2.24
97,Ketchikan,90,US,1540104960,93,55.34,-131.65,48.2,4.7
98,Kahului,20,US,1540101360,83,20.89,-156.47,78.8,6.93
99,Sobolevo,0,RU,1540105868,74,54.43,31.9,29.41,2.91
100,Ulcinj,40,ME,1540105200,51,41.93,19.22,68.0,1.12
101,Xiaoweizhai,76,CN,1540106070,100,26.23,107.51,56.63,4.03
102,Kil,92,SE,1540104600,100,59.5,13.32,50.0,9.17
103,Yaan,0,NG,1540106071,88,7.38,8.57,76.61,9.17
104,Oranjestad,20,AW,1540101600,83,12.52,-70.03,80.6,11.41
105,Chanika,92,MW,1540106072,100,-12.93,34.19,68.51,9.95
106,Qorveh,0,IR,1540106072,91,35.17,47.8,50.15,4.36
107,Ubrique,75,ES,1540105200,93,36.68,-5.45,64.4,1.9
108,Avera,1,US,1540103700,76,33.19,-82.53,60.8,9.17
109,Kodiak,1,US,1540101180,64,39.95,-94.76,37.4,2.91
110,Trogir,0,HR,1540105200,42,43.52,16.25,64.4,9.17
111,Mollendo,32,PE,1540106075,92,-17.03,-72.02,49.21,1.34
112,Miandrivazo,0,MG,1540106075,56,-19.53,45.46,77.38,4.81
113,Viedma,92,AR,1540106076,98,-40.81,-62.99,54.61,8.61
114,Piracuruca,36,BR,1540106076,84,-3.93,-41.72,75.35,8.61
115,Baykit,48,RU,1540106076,84,61.68,96.39,32.83,3.8
116,Napa,1,US,1540104900,87,38.3,-122.29,57.2,3.36
117,Iracoubo,8,GF,1540106078,85,5.48,-53.21,77.78,6.15
118,Tilichiki,36,RU,1540105838,80,60.47,166.1,24.23,3.13
119,Dikson,20,RU,1540105827,100,73.51,80.55,22.3,10.18
120,Victoria,75,BN,1540103400,79,5.28,115.24,84.2,3.36
121,Vardo,20,US,1540104900,70,39.62,-77.74,48.2,20.8
122,Oksfjord,75,NO,1540104600,75,70.24,22.35,41.0,2.24
123,Eureka,90,US,1540103700,100,40.8,-124.16,48.2,0.78
124,Broome,0,GB,1540104960,100,52.47,1.45,46.4,4.7
125,Faanui,68,PF,1540105821,100,-16.48,-151.75,79.99,7.16
126,Manaus,20,BR,1540101600,88,-3.13,-59.98,77.0,4.7
127,Mogocha,36,RU,1540106081,49,53.73,119.76,40.16,3.36
128,Cootamundra,0,AU,1540106082,73,-34.64,148.03,63.83,5.59
129,Kulhudhuffushi,92,MV,1540106082,100,6.62,73.07,82.33,3.47
130,Luoyang,92,CN,1540106083,87,34.66,112.42,54.7,4.25
131,Ahipara,12,NZ,1540106083,69,-35.17,173.16,64.1,8.39
132,Basar,20,IN,1540105200,52,27.98,94.69,91.4,5.82
133,Touros,92,BR,1540106084,88,-5.2,-35.46,77.15,8.95
134,Longyearbyen,75,NO,1540101000,69,78.22,15.63,39.2,16.11
135,Ayorou,0,NE,1540106085,40,14.73,0.92,71.21,2.8
136,Calama,0,CL,1540101600,24,-22.46,-68.93,44.6,19.46
137,Grindavik,75,IS,1540103400,69,63.84,-22.43,41.0,34.45
138,Ossora,92,RU,1540106086,100,59.24,163.07,35.26,4.7
139,Mayo,20,CA,1540101600,76,63.59,-135.9,32.0,3.36
140,Kruisfontein,44,ZA,1540105854,82,-34.0,24.73,58.52,13.42
141,Sistranda,75,NO,1540104600,81,63.73,8.83,51.8,23.04
142,Alugan,48,PH,1540106087,98,12.22,125.48,82.73,7.27
143,Smirnykh,32,RU,1540106087,73,49.74,142.83,37.1,8.16
144,Gorontalo,36,ID,1540105851,75,0.54,123.06,82.24,2.46
145,Severo-Kurilsk,76,RU,1540106088,99,50.68,156.12,41.33,4.47
146,Alofi,80,NU,1540105200,73,-19.06,-169.92,73.4,16.11
147,Egvekinot,56,RU,1540106089,74,66.32,-179.17,14.78,2.57
148,Chyhyryn,24,UA,1540106089,96,49.08,32.67,50.87,10.85
149,Olinda,20,EC,1540101600,78,-2.03,-79.75,71.6,8.05
150,Barrow,80,AR,1540105829,82,-38.31,-60.23,55.37,8.16
151,Areosa,0,PT,1540105200,64,41.72,-8.86,68.0,4.7
152,Sovetskiy,88,RU,1540106090,89,56.76,48.47,37.69,6.15
153,Marzuq,36,YE,1540105846,63,14.4,46.47,72.7,2.13
154,Hambantota,24,LK,1540105919,91,6.12,81.12,85.61,7.72
155,Rawson,0,AR,1540105970,72,-43.3,-65.11,50.78,8.84
156,Nemuro,20,JP,1540101600,51,43.32,145.57,60.8,8.05
157,Nyurba,92,RU,1540106092,66,63.29,118.35,32.96,6.71
158,Hofn,0,IS,1540106092,100,64.25,-15.21,42.19,39.37
159,Kidal,44,ML,1540106092,34,18.44,1.41,73.78,7.72
160,Ishigaki,75,JP,1540101600,94,24.34,124.16,73.4,9.17
161,Valparaiso,40,US,1540103700,59,41.47,-87.06,39.2,8.05
162,Provideniya,36,RU,1540105881,100,64.42,-173.23,38.23,14.09
163,Ankara,75,TR,1540102800,87,39.92,32.85,55.4,4.7
164,Muravlenko,92,RU,1540106094,96,63.79,74.5,32.29,8.5
165,Esperance,20,TT,1540101600,94,10.24,-61.45,77.0,3.8
166,Pervomayskoye,88,RU,1540106094,77,57.07,86.23,38.05,16.44
167,Bandarbeyla,80,SO,1540106095,100,9.49,50.81,76.52,7.38
168,Belmonte,56,PT,1540106095,96,40.36,-7.35,56.5,7.61
169,Asenovgrad,24,BG,1540105200,87,42.01,24.88,57.2,1.12
170,Araouane,76,ML,1540106096,24,18.9,-3.53,82.96,17.22
171,Cabedelo,92,BR,1540106097,95,-6.97,-34.84,77.87,8.72
172,Yulara,0,AU,1540101600,7,-25.24,130.99,93.2,5.82
173,Shimoda,20,JP,1540101600,49,34.7,138.93,68.0,13.87
174,Yarmouth,90,GB,1540104600,100,50.71,-1.5,48.2,2.68
175,Sisimiut,68,GL,1540106098,100,66.94,-53.67,13.07,0.34
176,Saurimo,68,AO,1540106099,92,-9.66,20.4,70.85,3.69
177,Leningradskiy,36,RU,1540105816,100,69.38,178.42,28.6,18.01
178,Namibe,76,AO,1540106101,100,-15.19,12.15,70.4,7.61
179,Qasigiannguit,48,GL,1540104600,67,68.82,-51.19,17.6,19.46
180,Sonoita,1,US,1540105080,59,31.68,-110.66,73.4,19.46
181,Matamoros,90,US,1540104780,100,25.87,-97.51,69.8,13.87
182,Plouzane,20,FR,1540105200,93,48.38,-4.62,48.2,1.12
183,Kavieng,20,PG,1540106106,100,-2.57,150.8,82.51,2.57
184,Karonga,48,MW,1540106107,96,-9.94,33.93,77.87,10.85
185,Lata,0,IN,1540106107,57,30.78,78.62,57.08,2.13
186,Dali,0,CN,1540106107,57,25.6,100.24,69.73,2.46
187,Keetmanshoop,75,NA,1540101600,18,-26.57,18.15,71.6,20.8
188,Camacha,20,PT,1540103400,88,33.08,-16.33,64.4,6.93
189,Dicabisagan,56,PH,1540106109,100,17.08,122.42,79.76,11.74
190,Ayni,0,TJ,1540106110,56,39.39,68.54,48.58,1.68
191,Pabrade,0,LT,1540104600,100,55.0,25.78,35.6,2.24
192,Encheng,44,CN,1540106111,91,22.74,107.09,78.19,7.61
193,Acajutla,8,SV,1540106111,93,13.59,-89.83,74.05,2.57
194,Kaliganj,20,BD,1540105200,46,22.46,89.03,93.2,6.93
195,Nassjo,80,SE,1540104600,93,57.65,14.7,46.4,13.87
196,Dawei,12,MM,1540106114,83,14.07,98.19,81.11,2.57
197,Soubre,0,CI,1540106115,98,5.79,-6.61,70.54,2.91
198,Mackenzie,1,CA,1540105200,80,55.34,-123.09,30.2,3.36
199,Hanover,40,DE,1540104600,93,52.37,9.74,48.2,1.12
200,Airai,36,TL,1540105875,68,-8.93,125.41,79.4,2.57
201,Nokaneng,0,BW,1540106117,40,-19.66,22.19,79.18,24.49
202,Zhanaozen,0,KZ,1540106118,28,43.35,52.85,60.28,9.95
203,Reconquista,0,AR,1540106119,58,-29.14,-59.64,66.62,13.65
204,Wanaka,24,NZ,1540106119,40,-44.7,169.14,66.62,1.9
205,Bambanglipuro,68,ID,1540105870,57,-7.95,110.28,87.77,7.38
206,Saint-Georges,12,CA,1540106120,83,46.12,-70.67,33.19,5.82
207,Westport,75,IE,1540105200,100,53.8,-9.52,48.2,12.75
208,Minas,0,UY,1540101600,87,-34.38,-55.24,53.6,5.82
209,Solnechnyy,32,RU,1540106121,71,50.72,136.64,40.07,3.24
210,Kudahuvadhoo,12,MV,1540106122,100,2.67,72.89,84.26,4.81
211,Margate,40,AU,1540103400,48,-43.03,147.26,62.6,9.17
212,Chumikan,0,RU,1540106122,67,54.72,135.31,39.53,7.16
213,Birjand,40,IR,1540101600,14,32.86,59.22,68.0,4.7
214,Tiksi,12,RU,1540105817,81,71.64,128.87,15.01,8.16
215,Scarborough,20,GB,1540104600,87,54.28,-0.41,55.4,4.7
216,Pyapon,80,MM,1540106124,100,16.29,95.68,79.81,4.59
217,Joensuu,90,FI,1540104600,93,62.6,29.76,39.2,8.05
218,Palmer,90,US,1540104960,65,61.6,-149.11,51.8,6.93
219,Upernavik,76,GL,1540105819,100,72.79,-56.15,23.83,10.4
220,Carutapera,0,BR,1540106126,94,-1.2,-46.02,77.38,7.61
221,Hamilton,75,BM,1540101300,73,32.3,-64.78,73.4,9.17
222,Ust-Omchug,68,RU,1540106126,80,61.13,149.63,13.3,2.91
223,Gat,8,SN,1540101600,88,14.69,-16.54,77.0,5.14
224,Isangel,100,VU,1540105910,100,-19.55,169.27,75.98,21.36
225,Isabela,32,PH,1540106128,87,10.2,122.99,82.91,0.67
226,Peniche,40,PT,1540105200,100,39.36,-9.38,59.0,2.24
227,Partizanskoye,64,UA,1540106129,85,44.83,34.08,55.78,1.68
228,Vredendal,48,ZA,1540106129,16,-31.68,18.49,72.16,17.56
229,Havoysund,100,NO,1540104600,80,71.0,24.66,41.0,17.22
230,Luderitz,80,NA,1540101600,93,-26.65,15.16,57.2,11.41
231,Shumskiy,36,RU,1540106130,63,54.83,99.13,35.98,3.02
232,Namatanai,24,PG,1540106131,100,-3.66,152.44,82.1,2.13
233,Zavallya,48,UA,1540106131,88,48.21,30.02,49.48,9.73
234,Sorland,92,NO,1540106132,100,67.67,12.69,48.94,41.61
235,Taltal,32,CL,1540106132,99,-25.41,-70.49,49.39,1.34
236,Gornopravdinsk,92,RU,1540106132,94,60.06,69.92,32.2,7.94
237,Antibes,0,FR,1540105200,63,43.58,7.11,62.6,14.99
238,Northam,90,GB,1540104600,100,51.04,-4.21,50.0,2.24
239,Chany,80,RU,1540106092,99,55.31,76.76,44.57,16.55
240,Bam,12,IR,1540106134,46,29.11,58.36,71.26,2.01
241,Tuburan,75,PH,1540105200,62,10.73,123.82,87.8,10.29
242,Zyryanka,0,RU,1540106135,73,65.73,150.89,6.28,2.68
243,Digha,0,IN,1540106135,86,21.62,87.51,88.18,5.03
244,Lorengau,36,PG,1540105915,100,-2.02,147.27,81.94,2.82
245,Vostok,12,RU,1540106136,52,46.45,135.83,50.42,2.8
246,Codrington,80,AU,1540105828,97,-28.95,153.24,68.06,1.9
247,Ulagan,76,RU,1540106136,63,50.63,87.96,25.67,2.46
248,Muncie,90,US,1540104000,67,40.19,-85.39,37.4,9.17
249,Poum,64,MK,1540106137,95,41.28,20.71,39.17,1.9
250,Hualmay,76,PE,1540105811,98,-11.1,-77.61,53.21,4.47
251,Zhangjiakou,12,CN,1540106137,61,40.77,114.88,54.47,5.59
252,Chicama,40,PE,1540101600,88,-7.84,-79.15,62.6,5.82
253,Kargasok,80,RU,1540106139,83,59.06,80.87,35.89,6.38
254,Caucaia,75,BR,1540101600,78,-3.73,-38.66,78.8,6.93
255,Pedernales,92,EC,1540106140,87,0.07,-80.05,72.38,5.59
256,Coihaique,0,CL,1540101600,86,-45.58,-72.07,39.2,5.82
257,Pauini,24,BR,1540106140,95,-7.71,-67.0,74.59,2.57
258,Pochutla,76,MX,1540106141,100,15.74,-96.47,77.38,5.14
259,Novouzensk,44,RU,1540105860,66,50.46,48.14,50.29,9.62
260,Xaltianguis,90,MX,1540101000,100,17.1,-99.71,75.2,1.12
261,Labuhan,92,ID,1540106141,89,-2.54,115.51,76.61,1.68
262,Nishihara,1,JP,1540104960,28,35.74,139.53,71.6,9.17
263,Beloha,36,MG,1540106142,51,-25.17,45.06,74.95,14.32
264,Kpandae,36,GH,1540106143,95,8.46,-0.01,72.79,2.91
265,Spokane,1,US,1540105080,81,47.66,-117.42,46.4,3.36
266,Ust-Kuyga,56,RU,1540106143,89,70.0,135.55,12.58,5.59
267,Vilyuysk,88,RU,1540106144,74,63.75,121.63,31.25,5.7
268,Burnie,0,AU,1540106144,94,-41.05,145.91,57.71,14.65
269,Asaba,56,NG,1540106145,97,6.19,6.75,76.48,4.59
270,Nouakchott,56,MR,1540105930,98,18.08,-15.98,75.13,10.74
271,Progreso,0,UY,1540105200,76,-34.68,-56.22,53.6,5.82
272,Macouria,20,GF,1540103400,88,5.01,-52.47,77.0,4.7
273,Jijiga,0,ET,1540106146,45,9.35,42.8,74.9,4.59
274,Ryotsu,20,JP,1540101600,55,38.08,138.43,66.2,4.7
275,Kiboga,12,UG,1540106147,84,0.92,31.77,69.91,4.59
276,Berdigestyakh,44,RU,1540106147,83,62.1,126.7,27.25,3.69
277,Pevek,80,RU,1540105843,100,69.7,170.27,24.1,8.95
278,Bontang,76,ID,1540106148,100,0.12,117.47,80.35,5.93
279,Manado,40,ID,1540105200,62,1.49,124.85,86.0,9.17
280,Saint-Pierre,90,FR,1540105200,93,48.95,4.24,39.2,8.05
281,Kita,1,JP,1540104960,28,35.76,139.74,71.6,9.17
282,Pimampiro,80,EC,1540106149,100,0.39,-77.94,52.31,0.78
283,Salalah,20,OM,1540101000,61,17.01,54.1,80.6,4.7
284,Sitka,0,US,1540106150,64,37.17,-99.65,46.6,6.6
285,Yerbogachen,92,RU,1540106150,81,61.28,108.01,31.97,3.91
286,Pontianak,92,ID,1540105951,80,-0.02,109.34,84.35,4.59
287,Bonavista,88,CA,1540106151,77,48.65,-53.11,55.15,34.78
288,Malpe,20,IN,1540105200,55,13.35,74.72,87.8,3.69
289,Effium,8,NG,1540106152,94,6.63,8.06,75.8,6.38
290,Ekibastuz,44,KZ,1540106152,66,51.72,75.32,49.39,22.48
291,Santander,12,PH,1540106152,100,9.42,123.33,82.1,1.9
292,Shenjiamen,88,CN,1540106153,85,29.96,122.3,71.08,12.41
293,Zwedru,92,LR,1540106153,98,6.07,-8.13,72.47,3.91
294,Praya,75,ID,1540105200,62,-8.71,116.27,86.0,11.41
295,Vila,12,IT,1540102800,100,45.18,8.4,59.0,3.36
296,Rovaniemi,75,FI,1540104600,87,66.5,25.72,42.8,20.8
297,Barpeta,40,IN,1540105200,66,26.33,91.01,87.8,10.29
298,Shulan,64,CN,1540106155,35,44.41,126.94,60.32,5.48
299,Manacapuru,20,BR,1540105927,92,-3.3,-60.62,77.74,4.47
300,Rome,0,IT,1540102800,76,41.89,12.48,62.6,3.36
301,Talnakh,80,RU,1540105930,100,69.49,88.39,24.23,3.02
302,Fez,0,MA,1540103400,87,34.03,-5.02,55.4,5.82
303,Campoverde,40,IT,1540104900,88,41.54,12.73,62.6,8.05
304,Rosario,80,UY,1540106065,66,-34.31,-57.35,58.88,9.73
305,Inhambane,20,MZ,1540101600,43,-23.87,35.38,71.6,23.04
306,Garissa,80,KE,1540106157,77,-0.46,39.64,79.36,9.28
307,Aquiraz,75,BR,1540101600,78,-3.9,-38.39,78.8,6.93
308,Cassino,40,IT,1540104900,82,41.49,13.83,62.6,3.69
309,Atbasar,92,KZ,1540106159,65,51.81,68.36,44.57,14.54
310,Saint-Ambroise,8,FR,1540105200,93,47.25,-0.65,44.6,4.7
311,Caravelas,64,BR,1540106159,100,-17.73,-39.27,74.59,24.05
312,Potam,12,MX,1540106160,90,27.6,-110.38,70.22,5.48
313,Tabou,56,CI,1540106160,100,4.42,-7.36,80.12,6.6
314,Saskylakh,80,RU,1540105884,82,71.97,114.09,17.75,6.6
315,Inta,68,RU,1540106161,81,66.04,60.13,24.05,3.13
316,Uyuni,32,BO,1540106162,87,-20.46,-66.82,34.13,3.36
317,Klaksvik,32,FO,1540104600,70,62.23,-6.59,44.6,16.11
318,Sargur,12,IN,1540106162,69,11.98,76.42,82.1,3.24
319,Rakaia,8,NZ,1540105200,82,-43.76,172.02,59.0,11.41
320,Shatrovo,75,BG,1540105200,93,42.29,22.98,48.2,3.36
321,Nsanje,20,MZ,1540106164,61,-16.92,35.26,76.03,12.19
322,Tyup,0,KG,1540106164,96,42.73,78.36,37.15,1.79
323,Ploemeur,0,FR,1540105200,93,47.73,-3.43,44.6,8.05
324,Nacala,68,MZ,1540106165,95,-14.56,40.69,77.78,13.42
325,Bilibino,68,RU,1540106165,75,68.06,166.44,9.2,2.35
326,Ternate,90,PH,1540105200,55,14.29,120.72,89.6,9.17
327,Werda,20,DE,1540105200,81,50.44,12.3,44.6,5.82
328,Sungaipenuh,48,ID,1540106167,83,-2.08,101.38,74.41,1.57
329,Birigui,24,BR,1540106167,61,-21.29,-50.34,67.48,17.22
330,Amapa,80,HN,1540106167,96,15.09,-87.97,70.85,1.68
331,Mayumba,92,GA,1540106167,98,-3.44,10.65,77.29,13.42
332,Rundu,8,NA,1540106168,57,-17.91,19.77,73.15,9.73
333,Atar,100,MR,1540106168,61,20.52,-13.05,73.06,3.36
334,Kabanjahe,75,ID,1540101600,66,3.1,98.49,87.8,11.41
335,Acapulco,90,MX,1540101000,100,16.86,-99.88,75.2,3.36
336,Iquique,90,CL,1540101600,72,-20.22,-70.14,62.6,5.82
337,Olga,1,US,1540105080,37,34.11,-118.17,71.6,2.13
338,Pore,100,CO,1540106170,87,5.73,-71.99,68.74,2.57
339,Zhangye,0,CN,1540105832,80,38.94,100.46,47.14,4.81
340,Batagay-Alyta,24,RU,1540106171,71,67.8,130.41,4.93,3.13
341,Husavik,88,CA,1540106171,88,50.56,-96.99,32.2,15.43
342,Oranjemund,20,ZA,1540106171,84,-28.55,16.43,61.13,3.58
343,Moerai,92,PF,1540106172,100,-22.43,-151.33,65.5,2.13
344,Tecoanapa,90,MX,1540101000,100,16.99,-99.26,75.2,2.91
345,Sarangani,76,PH,1540106173,100,5.4,125.46,81.65,12.97
346,Erdenet,88,MN,1540106173,70,49.03,104.04,33.23,8.61
347,Havelock,1,US,1540104840,77,34.88,-76.9,64.4,11.41
348,Kavaratti,0,IN,1540106174,100,10.57,72.64,83.23,8.5
349,Srivardhan,0,IN,1540106174,70,18.03,73.02,90.25,4.81
350,Sechura,36,PE,1540106175,91,-5.56,-80.82,65.41,11.97
351,Shikhany,0,RU,1540106176,78,52.12,47.22,41.11,4.81
352,Korcula,20,HR,1540105200,42,42.96,17.14,62.6,3.36
353,Pereslavl-Zalesskiy,92,RU,1540106176,97,56.74,38.86,38.27,3.47
354,Octeville,8,FR,1540105200,87,49.63,-1.64,53.6,5.82
355,Matam,0,SN,1540101600,88,15.66,-13.26,73.4,2.24
356,Yokadouma,12,CM,1540106177,88,3.52,15.05,74.86,2.68
357,Angoche,8,MZ,1540106178,100,-16.23,39.91,78.1,22.26
358,Caconda,0,AO,1540106178,65,-13.73,15.06,69.01,3.69
359,Cacahuatepec,90,MX,1540101000,100,16.89,-99.61,75.2,3.36
360,Ugoofaaru,100,MV,1540105812,100,5.67,73.0,82.55,2.68
361,Beringovskiy,24,RU,1540105841,100,63.05,179.32,29.23,20.24
362,Karratha,0,AU,1540106180,8,-20.74,116.85,103.61,9.62
363,Oistins,40,BB,1540101600,83,13.07,-59.53,80.6,17.22
364,Novikovo,80,UA,1540106181,98,45.05,34.56,56.95,1.34
365,Sumbe,0,AO,1540106181,99,-11.2,13.84,74.18,3.58
366,Port-de-Bouc,0,FR,1540105200,100,43.4,4.98,59.0,6.93
367,Gallipoli,0,IT,1540104900,88,40.06,18.0,66.2,11.41
368,Lamu,64,ID,1540105908,94,0.57,122.3,79.0,2.57
369,Huarmey,24,PE,1540105909,90,-10.07,-78.15,51.91,3.24
370,Turukhansk,88,RU,1540106183,97,65.8,87.96,33.55,12.41
371,Dunedin,48,NZ,1540106184,57,-45.87,170.5,63.88,2.8
372,Padang,68,ID,1540106184,100,-0.92,100.36,81.47,7.38
373,Shirokiy,0,RU,1540106185,91,53.87,39.17,37.1,3.13
374,Waingapu,48,ID,1540106185,95,-9.65,120.26,79.99,0.67
375,Yar-Sale,64,RU,1540105831,100,66.83,70.83,24.41,15.21
376,Faro,40,PT,1540105200,88,37.02,-7.94,66.2,10.29
377,Fare,36,PF,1540106186,98,-16.7,-151.02,79.99,10.74
378,Srednekolymsk,8,RU,1540106187,81,67.46,153.71,8.44,2.35
